Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Time for Wrigley's,Otis Shepard,5390,"(American, 1894–1969)",(American),-1894,-1969,(Male),1900-1937,Poster,"11 x 21"" (27.9 x 53.3cm)","Gift of the William Wrigley, Jr. Company",144.1937,Design,Architecture & Design,1/1/37,N,5228,,,,,,27.9,,,53.3,,
Wrigley's Spearmint Gum,Otis Shepard,5390,"(American, 1894–1969)",(American),-1894,-1969,(Male),1936,Lithograph,"11 x 21"" (27.9 x 53.3 cm)","Gift of the William Wrigley, Jr. Company",145.1937,Design,Architecture & Design,1/1/37,Y,5238,http://www.moma.org/collection/works/5238,http://www.moma.org/media/W1siZiIsIjI0ODciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=eb0c027123097721,,,,27.9,,,53.3,,
Wrigley's (Resolved for 1937),Otis Shepard,5390,"(American, 1894–1969)",(American),-1894,-1969,(Male),1937,Poster,"11 x 21"" (27.9 x 53.3cm)","Gift of the William Wrigley, Jr. Company",146.1937,Design,Architecture & Design,1/1/37,N,5248,,,,,,27.9,,,53.3,,
"For the Children, Wrigley's Spearmint Gum",Otis Shepard,5390,"(American, 1894–1969)",(American),-1894,-1969,(Male),1930s,Lithograph,"45 3/8 x 58 3/4"" (115.3 x 149.2 cm)","Gift of the William Wrigley, Jr. Company",147.1937,Design,Architecture & Design,1/1/37,N,5260,,,,,,115.2527305,,,149.2252985,,
Wrigley's Spearmint,Otis Shepard,5390,"(American, 1894–1969)",(American),-1894,-1969,(Male),c.1937,Lithograph,"45 x 60"" (114.3 x 152.4 cm)","Gift of the William Wrigley, Jr. Company",148.1937,Design,Architecture & Design,1/1/37,Y,5271,http://www.moma.org/collection/works/5271,,,,,114.3002286,,,152.4003048,,
Millions Enjoy Wrigley's Spearmint,Otis Shepard,5390,"(American, 1894–1969)",(American),-1894,-1969,(Male),c.1937,Lithograph,"44 1/2 x 59 1/2"" (113 x 151.1 cm)","Gift of the William Wrigley, Jr. Company",149.1937,Design,Architecture & Design,1/1/37,Y,5280,http://www.moma.org/collection/works/5280,,,,,113.0302261,,,151.1303023,,
"For the Children, Wrigley's Spearmint Gum",Otis Shepard,5390,"(American, 1894–1969)",(American),-1894,-1969,(Male),c.1937,Lithograph,"45 3/8 x 58 3/4"" (115.3 x 149.2 cm)","Gift of the William Wrigley, Jr. Company",150.1937,Design,Architecture & Design,1/1/37,Y,5289,http://www.moma.org/collection/works/5289,,,,,115.2527305,,,149.2252985,,
Wrigley's (Christmas Stocking),Otis Shepard,5390,"(American, 1894–1969)",(American),-1894,-1969,(Male),c.1937,Poster,,"Gift of the William Wrigley, Jr. Company",151.1937,Design,Architecture & Design,1/1/37,N,5300,,,,,,,,,,,
Wrigley's Flavor Lasts,Otis Shepard,5390,"(American, 1894–1969)",(American),-1894,-1969,(Male),c.1937,Poster,,"Gift of the William Wrigley, Jr. Company",152.1937,Design,Architecture & Design,1/1/37,N,5310,,,,,,,,,,,
Wrigley's (Christmas Stocking),Otis Shepard,5390,"(American, 1894–1969)",(American),-1894,-1969,(Male),c.1937,Poster,,"Gift of the William Wrigley, Jr. Company",153.1937,Design,Architecture & Design,1/1/37,N,5318,,,,,,,,,,,
Wrigley's New Year 1936,Otis Shepard,5390,"(American, 1894–1969)",(American),-1894,-1969,(Male),1936,Poster,,"Gift of the William Wrigley, Jr. Company",154.1937,Design,Architecture & Design,1/1/37,N,5328,,,,,,,,,,,
No llencen els diaris,Miguel,3968,(Spanish),(Spanish),0,0,(),1900-1937,Poster,,Gift of Christian Zervos,157.1937,Design,Architecture & Design,1/1/37,N,5356,,,,,,,,,,,
Bedbug,Aleksandr Rodchenko,4975,"(Russian, 1891–1956)",(Russian),-1891,-1956,(Male),1929,Letterpress,"42 5/8 x 28 1/2"" (108.3 x 72.4 cm)",Gift of Jay Leyda,365.1937,Design,Architecture & Design,1/1/37,Y,6541,http://www.moma.org/collection/works/6541,http://www.moma.org/media/W1siZiIsIjU3MTQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=d098451d469b08b5,,,,108.3,,,72.4,,
"Inga, Theater of the Revolution",Aleksandr Rodchenko,4975,"(Russian, 1891–1956)",(Russian),-1891,-1956,(Male),c. 1929,Letterpress,"28 3/4 x 41 3/4"" (73 x 106 cm)",Gift of Jay Leyda,366.1937,Design,Architecture & Design,1/1/37,Y,6547,http://www.moma.org/collection/works/6547,http://www.moma.org/media/W1siZiIsIjU3MzMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=f25c21aa6047dd55,,,,73,,,106,,
Nanook of the North,Robert Flaherty,17993,"(American, 1884–1951)",(American),-1884,-1951,(Male),1922,"35mm film (black and white and color tinted, silent)",74 min.,Acquired from the Artist. Preserved with funding from the Celeste Bartos Film Preservation Fund and the National Endowment for the Arts,5326,Film,Film,1/1/37,Y,89346,http://www.moma.org/collection/works/89346,http://www.moma.org/media/W1siZiIsIjczOTQ1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=520ad3d26e7f7b3e,,,,,,,,,4440
Entr'acte,René Clair,27343,"(French, 1898–1981)",(French),-1898,-1981,(Male),1924,"35mm film (black and white, silent)",17 min. at 22 fps,"Acquired from the Artist, through the courtesy of Rolf de Mare and Fernand Léger",1196,Film,Film,1/1/37,Y,91485,http://www.moma.org/collection/works/91485,http://www.moma.org/media/W1siZiIsIjEwNTk2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d911bbc5e699b5ad,,,,,,,,,1020
The Birth of a Nation,David Wark Griffith,26498,"(American, 1874–1948)",(American),-1874,-1948,(Male),1915,"35mm film (black and white with hand tinting and toning, silent)",187 min.,Acquired from Progress Films. Restored with funding from The Lillian Gish Trust for Film Preservation and the Celeste Bartos Film Preservation Fund,880,Film,Film,1/1/37,Y,107493,http://www.moma.org/collection/works/107493,http://www.moma.org/media/W1siZiIsIjExMzExMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ee5b6e629aeae2c6,,,,,,,,,11220
Cenere,,,,,,,,1917,,,,982,Film,Film,1/1/37,N,217826,,,,,,,,,,,
"Composition in White, Black, and Red",Piet Mondrian,4057,"(Dutch, 1872–1944)",(Dutch),-1872,-1944,(Male),Paris 1936,Oil on canvas,"40 1/4 x 41"" (102.2 x 104.1 cm)",Gift of the Advisory Committee,2.1937,Painting,Painting & Sculpture,1/15/37,Y,78310,http://www.moma.org/collection/works/78310,http://www.moma.org/media/W1siZiIsIjI2NTc5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c59ad71c8df221b,,,,102.2,,,104.1,,
Floating Figure,Gaston Lachaise,3332,"(American, born France. 1882–1935)",(American),-1882,-1935,(Male),1927 (cast 1935),Bronze,"51 3/4"" x 8' x 22"" (131.4 x 243.9 x 55.9 cm)",Given anonymously in memory of the artist,3.1937,Sculpture,Painting & Sculpture,2/9/37,Y,80750,http://www.moma.org/collection/works/80750,,,55.9,,131.4,,381.0215,243.9,,
Muséum national d'histoire naturelle; Musée d'Ethnographie du Trocadéro,J. A. Boiffard Tchimoukow,5822,(French),(French),0,0,(),1900-1937,Poster,"21 1/2 x 15 5/8"" (54.6 x 39.7cm)",Anonymous gift,215.1937,Design,Architecture & Design,2/18/37,N,5712,,,,,,54.6,,,39.7,,
Everywhere At Your Service - Wagon Lits,A. M. Cassandre,1015,"(French, 1901–1968)",(French),-1901,-1968,(Male),1933,Poster,"63 1/2 x 47 1/2"" (161.3 x 120.7cm)",Gift of American Institute of Graphic Arts,159.1937,Design,Architecture & Design,3/17/37,N,5379,,,,,,161.3,,,120.7,,
"Woman Jumping, Running Straight High Jump: Plate 156 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"7 3/16 x 16 7/8"" (18.3 x 42.9 cm)",Gift of the Philadelphia Commercial Museum,160.1937,Photograph,Photography,3/17/37,Y,47044,http://www.moma.org/collection/works/47044,http://www.moma.org/media/W1siZiIsIjIwMDk1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=586ef36f8587bb01,,,,18.3,,,42.9,,
Elk Galloping: Plate 695 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"9 1/16 x 12 9/16"" (23 x 31.9 cm)",Gift of the Philadelphia Commercial Museum,161.1937,Photograph,Photography,3/17/37,N,47059,,,,,,23,,,31.9,,
"""Dan"" Galloping, Saddled: Plate 634 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"7 5/16 x 15 3/16"" (18.6 x 38.6 cm)",Gift of the Philadelphia Commercial Museum,162.1937,Photograph,Photography,3/17/37,N,47074,,,,,,18.6,,,38.6,,
"Movement of the Hand, Hand Changing Pencil: Plate 536 from Animal Locomotion",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"7 1/8 x 15 3/4"" (18.1 x 40.1 cm)",Gift of the Philadelphia Commercial Museum,163.1937,Photograph,Photography,3/17/37,Y,47090,http://www.moma.org/collection/works/47090,http://www.moma.org/media/W1siZiIsIjE0MDUwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1ab08a1bbfadda44,,,,18.1,,,40.1,,
"""Katydid"" Trotting, Harnessed to Sulky: Plate 611 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"7 3/16 x 15 7/8"" (18.3 x 40.3 cm)",Gift of the Philadelphia Commercial Museum,164.1937,Photograph,Photography,3/17/37,Y,47106,http://www.moma.org/collection/works/47106,http://www.moma.org/media/W1siZiIsIjIwMDIxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1bd40f8839c951b9,,,,18.3,,,40.3,,
"""Daisy"" Galloping, Saddled: Plate 624 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"5 15/16 x 16 7/8"" (15.1 x 42.9 cm)",Gift of the Philadelphia Commercial Museum,165.1937,Photograph,Photography,3/17/37,N,47122,,,,,,15.1,,,42.9,,
"Man Jumping, Running Broad Jump: Plate 159 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"4 3/4 x 17 3/4"" (12 x 45.1 cm)",Gift of the Philadelphia Commercial Museum,166.1937,Photograph,Photography,3/17/37,N,47137,,,,,,12,,,45.1,,
"""Bouquet"" Galloping, Saddled: Plate 633 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"7 3/16 x 16 7/16"" (18.3 x 41.7 cm)",Gift of the Philadelphia Commercial Museum,167.1937,Photograph,Photography,3/17/37,N,47153,,,,,,18.3,,,41.7,,
Woman Stooping and Lifting Train: Plate 207 from Animal Locomotion (1887),Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"7 1/4 x 15 7/8"" (18.5 x 40.3 cm)",Gift of the Philadelphia Commercial Museum,168.1937,Photograph,Photography,3/17/37,Y,47181,http://www.moma.org/collection/works/47181,http://www.moma.org/media/W1siZiIsIjIwMDk2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=39b3eb1249104946,,,,18.5,,,40.3,,
"""Johnson"" Hauling, Head Being Pulled: Plate 572 from Animal Locomotion (1887)",Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),-1830,-1904,(Male),1884-86,Collotype,"10 1/4 x 10 5/8"" (26.1 x 27 cm)",Gift of the Philadelphia Commercial Museum,169.1937,Photograph,Photography,3/17/37,N,47198,,,,,,26.1,,,27,,
