Title,Artist,NumberArtists,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,GenderMFU,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Revue OU Cinquième Saison, no. 25","Various Artists, Serge Béguier, Gianni Bertini, Henri Chopin, François Dufrêne, Dora Feilane, Ian Hamilton Finlay, Paul-Armand Gette, John Giorno, Brion Gysin, Bernard Heidsieck, Alain Jouffroy, Rodolfo Krasno, Jean-Clarence Lambert, Jean-Jacques Lévêque, Gabriel Paris, Laura Sheleen",16,"24409, 69889, 530, 39998, 38041, 69888, 1878, 28192, 2171, 2427, 41145, 69891, 69892, 12536, 69886, 69887, 69890","(French) (Italian, born 1922) (French, 1922–2008) (French, 1930–1982) (French, born 1938) (British, 1925–2006) (French, born 1927) (American, born 1936) (American, 1916–1986) (French, 1928–2014) (French, 1928–2015) (French, born Argentina, 1926–1982) (French, born 1930)",() (French) (Italian) (French) (French) (French) (British) (French) (American) (American) (French) (French) (French) (French) () () (),(0) (0) (1922) (1922) (1930) (1938) (1925) (1927) (1936) (1916) (1928) (1928) (1926) (1930) (0) (0) (0),(0) (0) (0) (2008) (1982) (0) (2006) (0) (0) (1986) (2014) (2015) (1982) (0) (0) (0) (0),() (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Female),F,1965,Periodical,"overall (closed): 10 5/8 × 10 1/4 × 1/8"" (27 × 26 × 0.3 cm)",General Print Fund,649.2017,Periodical,Prints & Illustrated Books,10/18/17,Y,273920,http://www.moma.org/collection/works/273920,http://www.moma.org/media/W1siZiIsIjQyMTczNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=38a9ad77a5f7d823,,0.3,,27,,,26,,
"Revue OU Cinquième Saison, no. 22","Various Artists, Roberto Altmann, Antonio Berni, Jan Burka, Henri Chopin, Ian Hamilton Finlay, John Furnival, Paul-Armand Gette, Bernard Heidsieck, Dom Sylvester Houédard, Edwin Morgan, Claude Pélieu, Françoise Saint-Thibault, John Sharkey",14,"24409, 69894, 517, 69854, 39998, 1878, 69882, 28192, 41145, 69895, 13207, 69896, 69881, 69893","(Cuban, born 1942) (Argentine, 1905–1981) (Czech, 1924–2009) (French, 1922–2008) (British, 1925–2006) (British, born 1933) (French, born 1927) (French, 1928–2014) (British, 1924–1992) (British, 1920–2010) (French, 1934–2002)",() (Cuban) (Argentine) (Czech) (French) (British) (British) (French) (French) (British) (British) (French) () (),(0) (1942) (1905) (1924) (1922) (1925) (1933) (1927) (1928) (1924) (1920) (1934) (0) (0),(0) (0) (1981) (2009) (2008) (2006) (0) (0) (2014) (1992) (2010) (2002) (0) (0),() (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Female) (Male),F,1964,Periodical,"overall (closed): 10 5/8 × 10 1/4 × 3/16"" (27 × 26 × 0.5 cm)",General Print Fund,648.2017,Periodical,Prints & Illustrated Books,10/18/17,Y,273919,http://www.moma.org/collection/works/273919,http://www.moma.org/media/W1siZiIsIjQyMTczNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=903d413f8460cfce,,0.5,,27,,,26,,
"Revue OU Cinquième Saison, no. 30/31","Various Artists, Brigitte Chopin, Denis Chopin, Henri Chopin, Jean Chopin, Luigi Ferro, John Furnival, Aude Jessemin, Luc Peire, Anatol Stern, Ben Vautier",11,"24409, 69855, 69856, 39998, 69857, 69885, 69882, 69883, 69884, 65027, 6115","(French, 1922–2008) (British, born 1933) (French, born 1937) (Belgian, 1916–1994) (Polish, 1899–1968) (French, born Italy. 1935)",() () () (French) () () (British) (French) (Belgian) (Polish) (French),(0) (0) (0) (1922) (0) (0) (1933) (1937) (1916) (1899) (1935),(0) (0) (0) (2008) (0) (0) (0) (0) (1994) (1968) (0),() (Female) (Male) (Male) (Female) (Male) (Male) (Female) (Male) () (Male),F,1967,Periodical with 10-inch vinyl record,"overall (closed): 10 5/8 × 10 1/4 × 1/2"" (27 × 26 × 1.2 cm)",General Print Fund,650.2017,Periodical,Prints & Illustrated Books,10/18/17,Y,273921,http://www.moma.org/collection/works/273921,http://www.moma.org/media/W1siZiIsIjQyMTczNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=94932b9e424eeba2,,1.2,,27,,,26,,
Art Against Immigration Ban Letter Portfolio,"Various Artists, Chitra Ganesh, Liam Gillick, Joan Jonas, Barbara Kruger, Julie Mehretu, Walid Raad, Rirkrit Tiravanija, Danh Vo, Anicka Yi",9,"24409, 37879, 7547, 2930, 3266, 25414, 35285, 7479, 38141, 67890","(American, born 1975) (British, born 1964) (American, born 1936) (American, born 1945) (American, born Ethiopia 1970) (Lebanese, born 1967) (Thai, born Argentina 1961) (Danish, born Vietnam 1975) (American, born South Korea 1971)",() (American) (British) (American) (American) (American) (Lebanese) (Thai) (Danish) (American),(0) (1975) (1964) (1936) (1945) (1970) (1967) (1961) (1975) (0),(0) (0) (0) (0) (0) (0) (0) (0) (0) (0),() (Female) (Male) (Female) (Female) (Female) (Male) (Male) (Male) (Female),F,2017,Portfolio of nine digital prints,composition and sheet (see child records): dimensions vary,,654.2017.1-9,Print,Prints & Illustrated Books,10/18/17,N,273925,,,,,,,,,,,
"Revue OU Cinquième Saison, no. 34/35","Various Artists, Henri Chopin, Bob Cobbing, Hugh Davies, Jean Degottex, François Dufrêne, Paul-Armand Gette, Hansjörg Gisiger, Michel Seuphor",8,"24409, 39998, 69918, 69919, 41616, 38041, 28192, 69920, 14213","(French, 1922–2008) (British, 1920–2002) (British, 1943–2005) (French, 1918–1988) (French, 1930–1982) (French, born 1927) (Swiss, 1919–2008) (French, born Belgium. 1901–1999)",() (French) (British) (British) (French) (French) (French) (Swiss) (French),(0) (1922) (1920) (1943) (1918) (1930) (1927) (1919) (1901),(0) (2008) (2002) (2005) (1988) (1982) (0) (2008) (1999),() (Male) (Male) (Male) () (Male) (Male) (Male) (Male),M,1969,Periodical with 10-inch vinyl record,"overall (closed): 10 5/8 × 10 1/4 × 3/16"" (27 × 26 × 0.5 cm)",General Print Fund,653.2017,Periodical,Prints & Illustrated Books,10/18/17,Y,273924,http://www.moma.org/collection/works/273924,http://www.moma.org/media/W1siZiIsIjQyMTc0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e398cbbfd2830e2e,,0.5,,27,,,26,,
"Revue OU Cinquième Saison, no. 20/21","Various Artists, Gianni Bertini, Henri Chopin, Jean Dupuy, James Guitet, Brion Gysin, Bernard Heidsieck, Françoise Janicot",7,"24409, 530, 39998, 43334, 69897, 2427, 41145, 69898","(Italian, born 1922) (French, 1922–2008) (French, born 1925) (French, born 1925) (American, 1916–1986) (French, 1928–2014) (French, 1929–2017)",() (Italian) (French) (French) (French) (American) (French) (French),(0) (1922) (1922) (1925) (1925) (1916) (1928) (1929),(0) (0) (2008) (0) (0) (1986) (2014) (2017),() (Male) (Male) () (Male) (Male) (Male) (Female),F,1964,Periodical with 10-inch vinyl record,"overall (closed): 10 5/8 × 10 1/4 × 3/16"" (27 × 26 × 0.5 cm)",General Print Fund,647.2017,Periodical,Prints & Illustrated Books,10/18/17,Y,273918,http://www.moma.org/collection/works/273918,http://www.moma.org/media/W1siZiIsIjQyMTczNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6956aec3f060cb2d,,0.5,,27,,,26,,
The Valise,"Various Artists, Johanna Calle, Matías Duville, Maria Laet, Mateo López, Nicolás Paris, Rosângela Rennó, Christian Vinck Henriquez",7,"24409, 41170, 45810, 67952, 38678, 43702, 45951, 67980","(Colombian, born 1965) (Argentine, born 1974) (Brazilian, born 1982) (Colombian, born 1978) (Colombian, born 1977) (Brazilian, born 1962) (Venezuelan, born 1978)",() (Colombian) (Argentine) (Brazilian) (Colombian) (Colombian) (Brazilian) (Venezuelan),(0) (1965) (1974) (1982) (1978) (1977) (1962) (1978),(0) (0) (0) (0) (0) (0) (0) (0),() (Female) (Male) () (Male) (Male) (Female) (),F,"2015–17, published 2017","Multiple of archival carrying case, containing 14 printed objects, two multiples (one paper, one glass), two books, and one 12-inch vinyl record","overall (closed): 13 3/8 × 24 7/16 × 3 15/16"" (34 × 62 × 10 cm)",Gift of the Library Council of The Museum of Modern Art,655.2017.1-20,Multiple,Prints & Illustrated Books,10/18/17,Y,273926,http://www.moma.org/collection/works/273926,,,10,,34,,,62,,
The Valise,"Various Artists, Johanna Calle, Matías Duville, Maria Laet, Mateo López, Nicolás Paris, Rosângela Rennó, Christian Vinck Henriquez",7,"24409, 41170, 45810, 67952, 38678, 43702, 45951, 67980","(Colombian, born 1965) (Argentine, born 1974) (Brazilian, born 1982) (Colombian, born 1978) (Colombian, born 1977) (Brazilian, born 1962) (Venezuelan, born 1978)",() (Colombian) (Argentine) (Brazilian) (Colombian) (Colombian) (Brazilian) (Venezuelan),(0) (1965) (1974) (1982) (1978) (1977) (1962) (1978),(0) (0) (0) (0) (0) (0) (0) (0),() (Female) (Male) () (Male) (Male) (Female) (),F,"2015–17, published 2017","Multiple of archival carrying case with paint additions, containing 14 printed objects, two multiples (one paper, one glass), two books, and one 12-inch vinyl record","overall (closed): 14 3/16 × 24 7/16 × 4 9/16"" (36 × 62 × 11.6 cm)",Gift of the Library Council of The Museum of Modern Art,656.2017.1-20,Multiple,Prints & Illustrated Books,10/18/17,Y,273927,http://www.moma.org/collection/works/273927,http://www.moma.org/media/W1siZiIsIjM5OTExMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=245c119ec41c8522,,11.6,,36,,,62,,
"The Continuous Monument: New York, project","Superstudio, Gian Piero Frassinelli, Alessandro Magris, Roberto Magris, Adolfo Natalini, Cristiano Toraldo di Francia, Alessandro Poli",6,"5733, 8222, 8220, 8221, 8223, 8224, 8228","(Italian, est. 1966–1982) (Italian, born 1939) (Italian, born 1941) (Italian, born 1935) (Italian, born 1941) (Italian, born 1941) (Italian)",(Italian) (Italian) (Italian) (Italian) (Italian) (Italian) (Italian),(1966) (1939) (1941) (1935) (1941) (1941) (0),(1982) (0) (0) (0) (0) (0) (0),() (Male) (Male) (Male) (Male) (Male) (Male),M,1969,Lithograph,"27 9/16 × 39 3/8"" (70 × 100 cm)",Committee on Architecture and Design Funds,378.2017,Architecture,Architecture & Design,5/15/17,Y,221830,http://www.moma.org/collection/works/221830,,,,,70,,,100,,
Fundamental Acts: Death,"Superstudio, Gian Piero Frassinelli, Alessandro Magris, Roberto Magris, Adolfo Natalini, Cristiano Toraldo di Francia, Alessandro Poli",6,"5733, 8222, 8220, 8221, 8223, 8224, 8228","(Italian, est. 1966–1982) (Italian, born 1939) (Italian, born 1941) (Italian, born 1935) (Italian, born 1941) (Italian, born 1941) (Italian)",(Italian) (Italian) (Italian) (Italian) (Italian) (Italian) (Italian),(1966) (1939) (1941) (1935) (1941) (1941) (0),(1982) (0) (0) (0) (0) (0) (0),() (Male) (Male) (Male) (Male) (Male) (Male),M,1971-1973,Lithograph,"27 9/16 × 39 3/8"" (70 × 100 cm)",Committee on Architecture and Design Funds,379.2017.2,Architecture,Architecture & Design,5/15/17,Y,221832,http://www.moma.org/collection/works/221832,,,,,70,,,100,,
