Title,Artist,Nationality,GenderMFU,DateAcquired
Time for Wrigley's,Otis Shepard, American ,M,1/1/37
Wrigley's Spearmint Gum,Otis Shepard, American ,M,1/1/37
Wrigley's (Resolved for 1937),Otis Shepard, American ,M,1/1/37
"For the Children, Wrigley's Spearmint Gum",Otis Shepard, American ,M,1/1/37
Wrigley's Spearmint,Otis Shepard, American ,M,1/1/37
Millions Enjoy Wrigley's Spearmint,Otis Shepard, American ,M,1/1/37
"For the Children, Wrigley's Spearmint Gum",Otis Shepard, American ,M,1/1/37
Wrigley's (Christmas Stocking),Otis Shepard, American ,M,1/1/37
Wrigley's Flavor Lasts,Otis Shepard, American ,M,1/1/37
Wrigley's (Christmas Stocking),Otis Shepard, American ,M,1/1/37
Wrigley's New Year 1936,Otis Shepard, American ,M,1/1/37
No llencen els diaris,Miguel, Spanish ,U,1/1/37
Bedbug,Aleksandr Rodchenko, Russian ,M,1/1/37
"Inga, Theater of the Revolution",Aleksandr Rodchenko, Russian ,M,1/1/37
Nanook of the North,Robert Flaherty, American ,M,1/1/37
Entr'acte,René Clair, French ,M,1/1/37
The Birth of a Nation,David Wark Griffith, American ,M,1/1/37
Cenere,,,U,1/1/37
"Composition in White, Black, and Red",Piet Mondrian, Dutch ,M,1/15/37
Floating Figure,Gaston Lachaise, American ,M,2/9/37
Muséum national d'histoire naturelle; Musée d'Ethnographie du Trocadéro,J. A. Boiffard Tchimoukow, French ,U,2/18/37
Everywhere At Your Service - Wagon Lits,A. M. Cassandre, French ,M,3/17/37
"Woman Jumping, Running Straight High Jump: Plate 156 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
Elk Galloping: Plate 695 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
"""Dan"" Galloping, Saddled: Plate 634 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
"Movement of the Hand, Hand Changing Pencil: Plate 536 from Animal Locomotion",Eadweard J. Muybridge, American ,M,3/17/37
"""Katydid"" Trotting, Harnessed to Sulky: Plate 611 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
"""Daisy"" Galloping, Saddled: Plate 624 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
"Man Jumping, Running Broad Jump: Plate 159 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
"""Bouquet"" Galloping, Saddled: Plate 633 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
Woman Stooping and Lifting Train: Plate 207 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
"""Johnson"" Hauling, Head Being Pulled: Plate 572 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
"""Pandora"" Jumping a Hurdle, Bareback; Rider Nude: Plate 647 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
Galloping Horse with Jockey,Eadweard J. Muybridge, American ,M,3/17/37
Woman Lifting a 30-lb. Basket from Ground to Head and Turning: Plate 230 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
Jumping; Handspring; Somersault; Springing over a Man's Back: Plate 522 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
"""Dread"" Galloping: Plate 707 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
Lion Walking: Plate 722 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
Man Throwing the Hammer: Plate 309 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
Cockatoo Flying: Plate 759 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
"""Johnson"" Hauling, Man Pulling at Head: Plate 573 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
"Man Jumping, Running Twist High Jump: Plate 158 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
"Head-spring, a Flying Pigeon Interfering: Plate 365 from Animal Locomotion (1887",Eadweard J. Muybridge, American ,M,3/17/37
American Eagle Flying Near the Ground: Plate 771 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
Child Walking and Crawling Up Stairs: Plate 480 from Animal Locomotion (1887,Eadweard J. Muybridge, American ,M,3/17/37
Red-Tailed Hawk Flying: Plate 763 from Animal Locomotion,Eadweard J. Muybridge, American ,M,3/17/37
Cockatoo Flying: Plate 762 from Animal Locomotion,Eadweard J. Muybridge, American ,M,3/17/37
"Miscellaneous, Stooping, Kneeling, etc.: Plate 502 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
"Two Women Walking, Meeting and Partly Turning: Plate 45 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
Lawn Tennis: Plate 298 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
Bricklaying: Plate 505 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
"""Lizzie M."" Trotting, Harnessed to Sulky: Plate 609 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
Man Walking,Eadweard J. Muybridge, American ,M,3/17/37
"Baseball, Man Running and Picking Up Ball: Plate 287 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
"Baseball, Man Running and Picking Up Ball: Plate 287 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
"Baseball, Man Running and Picking Up Ball: Plate 287 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
Man Rowing: Plate 328 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
Woman Walking,Eadweard J. Muybridge, American ,M,3/17/37
"Woman Ascending Incline, Bucket of Water in Right Hand: Plate 83 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
Man Ascending Ladder: Plate III from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
Man Walking: Plate 2 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
"Man Jumping, Running Straight High Jump",Eadweard J. Muybridge, American ,M,3/17/37
"Man Jumping, Pole Vaulting: Plate 165 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
"Man Jumping, Pole Vaulting: Plate 165 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
Pole Vaulter (C),Eadweard J. Muybridge, American ,M,3/17/37
"""Fix"" and ""Unfix Bayonets""",Eadweard J. Muybridge, American ,M,3/17/37
"Baseball, Man Running and Picking Up Ball: Plate 287 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
"""Elberon"" Trotting, Saddled: Plate 604 from Animal Locomotion (1887)",Eadweard J. Muybridge, American ,M,3/17/37
Woman Dancing: Plate 194 from Animal Locomotion (1887),Eadweard J. Muybridge, American ,M,3/17/37
Dubonnet,A. M. Cassandre, French ,M,3/19/37
Composition,Natalia Goncharova, Russian ,F,5/11/37
Composition,Natalia Goncharova, Russian ,F,5/11/37
